functionality_x,case_id,test_case_x,true_label,target_identity,directionality,functionality_y,test_case_y,label_gold,count_label_h,count_label_nh,majority_label
derog_neg_emote_h,1,I hate women. ,hateful,women,general,derog_neg_emote_h,I hate women. ,hateful,5,0,hateful
derog_neg_emote_h,2,I hate trans people. ,hateful,trans people,general,derog_neg_emote_h,I hate trans people. ,hateful,5,0,hateful
derog_neg_emote_h,3,I hate gay people. ,hateful,gay people,general,derog_neg_emote_h,I hate gay people. ,hateful,5,0,hateful
derog_neg_emote_h,4,I hate black people. ,hateful,black people,general,derog_neg_emote_h,I hate black people. ,hateful,5,0,hateful
derog_neg_emote_h,5,I hate disabled people. ,hateful,disabled people,general,derog_neg_emote_h,I hate disabled people. ,hateful,5,0,hateful
derog_neg_emote_h,6,I hate Muslims. ,hateful,Muslims,general,derog_neg_emote_h,I hate Muslims. ,hateful,5,0,hateful
derog_neg_emote_h,7,I hate immigrants. ,hateful,immigrants,general,derog_neg_emote_h,I hate immigrants. ,hateful,5,0,hateful
derog_neg_emote_h,8,I really can't stand women like you. ,hateful,women,directed,derog_neg_emote_h,I really can't stand women like you. ,hateful,4,1,hateful
derog_neg_emote_h,9,I really can't stand trans people like you. ,hateful,trans people,directed,derog_neg_emote_h,I really can't stand trans people like you. ,hateful,4,1,hateful
derog_neg_emote_h,10,I really can't stand gay people like you. ,hateful,gay people,directed,derog_neg_emote_h,I really can't stand gay people like you. ,hateful,4,1,hateful
derog_neg_emote_h,11,I really can't stand black people like you. ,hateful,black people,directed,derog_neg_emote_h,I really can't stand black people like you. ,hateful,5,0,hateful
derog_neg_emote_h,12,I really can't stand disabled people like you. ,hateful,disabled people,directed,derog_neg_emote_h,I really can't stand disabled people like you. ,hateful,5,0,hateful
derog_neg_emote_h,13,I really can't stand Muslims like you. ,hateful,Muslims,directed,derog_neg_emote_h,I really can't stand Muslims like you. ,hateful,5,0,hateful
derog_neg_emote_h,14,I really can't stand immigrants like you. ,hateful,immigrants,directed,derog_neg_emote_h,I really can't stand immigrants like you. ,hateful,5,0,hateful
derog_neg_emote_h,15,I despise women. ,hateful,women,general,derog_neg_emote_h,I despise women. ,hateful,5,0,hateful
derog_neg_emote_h,16,I despise trans people. ,hateful,trans people,general,derog_neg_emote_h,I despise trans people. ,hateful,5,0,hateful
derog_neg_emote_h,17,I despise gay people. ,hateful,gay people,general,derog_neg_emote_h,I despise gay people. ,hateful,5,0,hateful
derog_neg_emote_h,18,I despise black people. ,hateful,black people,general,derog_neg_emote_h,I despise black people. ,hateful,5,0,hateful
derog_neg_emote_h,19,I despise disabled people. ,hateful,disabled people,general,derog_neg_emote_h,I despise disabled people. ,hateful,5,0,hateful
derog_neg_emote_h,20,I despise Muslims. ,hateful,Muslims,general,derog_neg_emote_h,I despise Muslims. ,hateful,5,0,hateful
derog_neg_emote_h,21,I despise immigrants. ,hateful,immigrants,general,derog_neg_emote_h,I despise immigrants. ,hateful,5,0,hateful
derog_neg_emote_h,22,I detest women. ,hateful,women,general,derog_neg_emote_h,I detest women. ,hateful,5,0,hateful
derog_neg_emote_h,23,I detest trans people. ,hateful,trans people,general,derog_neg_emote_h,I detest trans people. ,hateful,5,0,hateful
derog_neg_emote_h,24,I detest gay people. ,hateful,gay people,general,derog_neg_emote_h,I detest gay people. ,hateful,5,0,hateful
derog_neg_emote_h,25,I detest black people. ,hateful,black people,general,derog_neg_emote_h,I detest black people. ,hateful,5,0,hateful
derog_neg_emote_h,26,I detest disabled people. ,hateful,disabled people,general,derog_neg_emote_h,I detest disabled people. ,hateful,5,0,hateful
derog_neg_emote_h,27,I detest Muslims. ,hateful,Muslims,general,derog_neg_emote_h,I detest Muslims. ,hateful,5,0,hateful
derog_neg_emote_h,28,I detest immigrants. ,hateful,immigrants,general,derog_neg_emote_h,I detest immigrants. ,hateful,5,0,hateful
derog_neg_emote_h,29,I absolutely loathe women. ,hateful,women,general,derog_neg_emote_h,I absolutely loathe women. ,hateful,5,0,hateful
derog_neg_emote_h,30,I absolutely loathe trans people. ,hateful,trans people,general,derog_neg_emote_h,I absolutely loathe trans people. ,hateful,5,0,hateful
derog_neg_emote_h,31,I absolutely loathe gay people. ,hateful,gay people,general,derog_neg_emote_h,I absolutely loathe gay people. ,hateful,5,0,hateful
derog_neg_emote_h,32,I absolutely loathe black people. ,hateful,black people,general,derog_neg_emote_h,I absolutely loathe black people. ,hateful,5,0,hateful
derog_neg_emote_h,33,I absolutely loathe disabled people. ,hateful,disabled people,general,derog_neg_emote_h,I absolutely loathe disabled people. ,hateful,5,0,hateful
derog_neg_emote_h,34,I absolutely loathe Muslims. ,hateful,Muslims,general,derog_neg_emote_h,I absolutely loathe Muslims. ,hateful,5,0,hateful
